数据组,实验序号,配置ID,A水平,B水平,C水平,D水平,精度模式,Batch,算子实现,图优化策略,Buffer优化,Tiling优化,单流,输入形状,编译成功,记录检查,FPS,平均批延迟_ms,P95批延迟_ms,P99批延迟_ms,平均余弦,最小余弦,实际测量Batch,验证样本数,随机种子,验证错误,其他错误,ATC命令,数据来源
81组实验数据论文,31,A2-B1-C2-D1,2,1,2,1,allow_fp32_to_fp16,1,high_performance,standard_l2,l2_optimize,0,否,"input:1,3,224,224",是,记录满足检查,577.618997,1.731245,1.74175,1.82474,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp31 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,32,A2-B1-C2-D2,2,1,2,2,allow_fp32_to_fp16,1,high_performance,l2_with_tiling,l2_optimize,1,否,"input:1,3,224,224",是,记录满足检查,576.775777,1.733776,1.74755,1.84388,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp32 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,33,A2-B1-C2-D3,2,1,2,3,allow_fp32_to_fp16,1,high_performance,l2_single_stream,l2_optimize,0,是,"input:1,3,224,224",是,记录满足检查,576.891237,1.733429,1.7611,1.82272,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp33 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,34,A2-B1-C3-D1,2,1,3,1,allow_fp32_to_fp16,1,high_performance_for_all,standard_l2,l2_optimize,0,否,"input:1,3,224,224",是,记录满足检查,575.793083,1.736735,1.76475,1.82829,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp34 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,35,A2-B1-C3-D2,2,1,3,2,allow_fp32_to_fp16,1,high_performance_for_all,l2_with_tiling,l2_optimize,1,否,"input:1,3,224,224",是,记录满足检查,553.641187,1.806224,1.8053,2.93152,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp35 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,36,A2-B1-C3-D3,2,1,3,3,allow_fp32_to_fp16,1,high_performance_for_all,l2_single_stream,l2_optimize,0,是,"input:1,3,224,224",是,记录满足检查,577.694076,1.73102,1.74265,1.82954,0.999999,0.999999,1,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:1,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp36 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance_for_all --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,37,A2-B2-C1-D1,2,2,1,1,allow_fp32_to_fp16,4,high_precision,standard_l2,l2_optimize,0,否,"input:4,3,224,224",是,记录满足检查,595.165825,6.720816,6.71915,10.24586,0.999999,0.999999,4,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp37 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,38,A2-B2-C1-D2,2,2,1,2,allow_fp32_to_fp16,4,high_precision,l2_with_tiling,l2_optimize,1,否,"input:4,3,224,224",是,记录满足检查,609.276571,6.565163,6.75365,8.44055,0.999999,0.999999,4,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp38 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=1 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,39,A2-B2-C1-D3,2,2,1,3,allow_fp32_to_fp16,4,high_precision,l2_single_stream,l2_optimize,0,是,"input:4,3,224,224",是,记录满足检查,584.138252,6.847694,6.85055,10.29177,0.999999,0.999999,4,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp39 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_precision --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=true --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
81组实验数据论文,40,A2-B2-C2-D1,2,2,2,1,allow_fp32_to_fp16,4,high_performance,standard_l2,l2_optimize,0,否,"input:4,3,224,224",是,记录满足检查,597.584682,6.693612,6.87535,10.04207,0.999999,0.999999,4,10,42,,,"atc --model=/home/AscendWork/auto_tune2.0/resnet18_full.onnx --input_shape=""input:4,3,224,224"" --framework=5 --soc_version=Ascend310B1 --output=results/om_models/model_exp40 --precision_mode=allow_fp32_to_fp16 --op_select_implmode=high_performance --buffer_optimize=l2_optimize --tiling_schedule_optimize=0 --enable_single_stream=false --input_format=NCHW",C:\Users\25726\Desktop\论文\应用科学\实验数据\81组实验数据论文\evaluation_report.json
